"NOC";"reg";"ger_mdl_tot";"ger_qtd_atletas_f";"ger_prop_f";"ger_qtd_atletas_m"
"PRK";"North Korea";3;16;0,727272727272727;6
"ZIM";"Zimbabwe";7;26;0,65;14
"ANG";"Angola";0;42;0,646153846153846;23
"BAH";"The Bahamas";10;38;0,622950819672131;23
"PAN";"Panama";0;14;0,608695652173913;9
"ETH";"Ethiopia";21;43;0,581081081081081;31
"CHN";"China";86;193;0,548295454545455;159
"HKG";"China";0;28;0,538461538461538;24
"SEN";"Senegal";0;33;0,532258064516129;29
"BRN";"Bahrain";0;21;0,525;19
"GRE";"Greece";10;115;0,511111111111111;110
"KEN";"Kenya";7;33;0,507692307692308;32
"IND";"India";2;43;0,505882352941176;42
"ISR";"Israel";0;37;0,5;37
"JAM";"Jamaica";36;55;0,491071428571429;57
"SWE";"Sweden";61;190;0,487179487179487;200
"BRA";"Brazil";87;346;0,482566248256625;371
"COL";"Colombia";5;76;0,477987421383648;83
"KOR";"South Korea";28;91;0,471502590673575;102
"CAN";"Canada";126;384;0,471165644171779;431
