"Sport";"mediana_altura";"mediana_peso"
"Athletics";175;65
"Swimming";180;71
"Rowing";186;78
"Football";176;71
"Hockey";173;70
"Basketball";192;86
"Canoeing";180;78
"Cycling";176;68
"Water Polo";186;86
"Handball";182;79
"Volleyball";190;79
"Sailing";178;71
"Shooting";174;75
"Gymnastics";162;58
"Fencing";178;72
"Equestrianism";175;68
"Boxing";174;64
"Wrestling";173;74
"Judo";174;76
"Weightlifting";167;75
"Baseball";184;88
"Diving";167;60
"Taekwondo";176;68
"Softball";170;68
"Synchronized Swimming";168;55
"Rhythmic Gymnastics";168;49
"Rugby Sevens";173,5;76
"Archery";172;69
"Tennis";180;73
"Beach Volleyball";187,5;81
"Badminton";175;71
"Table Tennis";171;67
"Triathlon";175;63,5
"Modern Pentathlon";177;63
"Trampolining";165;57
"Golf";175;73,5
